channel,snr_db,bler_C16,oracle_f1,oracle_payload,C_activation
Rayleigh (K=0),0.0,0.9886,0.8867,0.0242,0.0
Rayleigh (K=0),2.0,0.9832,0.8867,0.0242,0.0
Rayleigh (K=0),4.0,0.9521,0.8867,0.0242,0.0
Rayleigh (K=0),6.0,0.8757,0.8867,0.0242,0.0
Rayleigh (K=0),8.0,0.7505,0.8867,0.0242,0.0
Rayleigh (K=0),10.0,0.5974,0.8867,0.0242,0.0
Rayleigh (K=0),12.0,0.4456,0.8868,0.0249,0.002
Rayleigh (K=0),14.0,0.3157,0.8869,0.0257,0.004
Rayleigh (K=0),16.0,0.2154,0.8875,0.0331,0.019
Rayleigh (K=0),18.0,0.1432,0.8901,0.0589,0.074
Rayleigh (K=0),20.0,0.0934,0.8956,0.1043,0.171
Rician K=4,0.0,0.997,0.8867,0.0242,0.0
Rician K=4,2.0,0.996,0.8867,0.0242,0.0
Rician K=4,4.0,0.9781,0.8867,0.0242,0.0
Rician K=4,6.0,0.9056,0.8867,0.0242,0.0
Rician K=4,8.0,0.7478,0.8867,0.0242,0.0
Rician K=4,10.0,0.5356,0.8868,0.0242,0.0
Rician K=4,12.0,0.3397,0.8868,0.0251,0.002
Rician K=4,14.0,0.1996,0.8878,0.037,0.028
Rician K=4,16.0,0.1131,0.8929,0.0865,0.133
Rician K=4,18.0,0.0637,0.9014,0.1479,0.263
Rician K=4,20.0,0.0364,0.9099,0.2117,0.399
Rician K=10,0.0,1.0,0.8867,0.0242,0.0
Rician K=10,2.0,0.9999,0.8867,0.0242,0.0
Rician K=10,4.0,0.9956,0.8867,0.0242,0.0
Rician K=10,6.0,0.9487,0.8867,0.0242,0.0
Rician K=10,8.0,0.7769,0.8867,0.0242,0.0
Rician K=10,10.0,0.4779,0.8868,0.0244,0.001
Rician K=10,12.0,0.2076,0.8876,0.0336,0.02
Rician K=10,14.0,0.0713,0.8997,0.136,0.238
Rician K=10,16.0,0.0215,0.9158,0.2447,0.469
Rician K=10,18.0,0.0057,0.923,0.2621,0.506
Rician K=10,20.0,0.0014,0.925,0.2647,0.511
AWGN,0.0,1.0,0.8867,0.024,0.0
AWGN,2.0,1.0,0.8867,0.024,0.0
AWGN,4.0,1.0,0.8867,0.024,0.0
AWGN,6.0,1.0,0.8867,0.024,0.0
AWGN,8.0,0.85,0.8867,0.0242,0.0
AWGN,10.0,0.4,0.8868,0.0249,0.002
AWGN,12.0,0.025,0.9143,0.2345,0.447
AWGN,14.0,0.025,0.9143,0.2345,0.447
AWGN,16.0,0.0,0.9257,0.2651,0.512
AWGN,18.0,0.0,0.9257,0.2651,0.512
AWGN,20.0,0.0,0.9257,0.2651,0.512
