channel,snr_db,rho_L,bler_16,bler_256,ap30_mean,ap30_std,ap50_mean,ap50_std,ap70_mean,ap70_std
awgn,0.0,1.0,1.0,1.0,0.81956977858967,0.0,0.7990430286783636,0.0,0.6681695535058864,0.0
awgn,8.0,1.0,0.85,1.0,0.81956977858967,0.0,0.7990430286783636,0.0,0.6681695535058864,0.0
awgn,12.0,0.9654545454545455,0.025,1.0,0.8199059663803107,8.375797534299066e-06,0.7994351915727186,1.788719195681132e-05,0.668913651122525,0.00012350524688669042
awgn,14.0,0.19818181818181818,0.025,0.95,0.8642779700697982,0.00035652515009361105,0.8521825144087563,0.0003413450787275339,0.7290779790538379,0.000589650593032135
awgn,16.0,0.2,0.0,0.7,0.864992581585577,0.0,0.8531514512231875,0.0,0.7289591932708287,0.0
awgn,20.0,0.34363636363636363,0.0,0.225,0.8594125737476596,1.1102230246251565e-16,0.8461472717620527,0.0,0.7210286225751016,0.0
rayleigh,0.0,1.0,0.9674454337759557,0.9688695027218521,0.81956977858967,0.0,0.7990430286783636,0.0,0.6681695535058864,0.0
rayleigh,10.0,1.0,0.5951933175911345,0.9762563886572986,0.81956977858967,0.0,0.7990430286783636,0.0,0.6681695535058864,0.0
rayleigh,20.0,1.0,0.09319731435896696,0.4548710775623129,0.81956977858967,0.0,0.7990430286783636,0.0,0.6681695535058864,0.0
