qam,channel,esno_db,ebno_db,bler_cw,n_cw,n_err,bler_frame
16,awgn,0.0,-3.01,1.0,2000,2000,1.0
16,awgn,2.0,-1.01,1.0,2000,2000,1.0
16,awgn,4.0,0.99,1.0,2000,2000,1.0
16,awgn,5.0,1.99,0.9995,2000,1999,1.0
16,awgn,5.5,2.49,0.981,2000,1962,1.0
16,awgn,6.0,2.99,0.7465,2000,1493,1.0
16,awgn,6.5,3.49,0.271,2000,542,1.0
16,awgn,7.0,3.99,0.041,4000,164,1.0
16,awgn,8.0,4.99,0.00013,100000,13,0.4023998922746115
16,awgn,10.0,6.99,0.0,100000,0,0.0
16,awgn,12.0,8.99,0.0,100000,0,0.0
16,awgn,16.0,12.99,0.0,100000,0,0.0
16,awgn,20.0,16.99,0.0,100000,0,0.0
256,awgn,6.0,-0.02,1.0,2000,2000,1.0
256,awgn,8.0,1.98,1.0,2000,2000,1.0
256,awgn,10.0,3.98,1.0,2000,2000,1.0
256,awgn,12.0,5.98,1.0,2000,2000,1.0
256,awgn,14.0,7.98,0.918,2000,1836,1.0
256,awgn,15.0,8.98,0.3025,2000,605,1.0
256,awgn,15.5,9.48,0.0885,2000,177,1.0
256,awgn,16.0,9.98,0.013875,8000,111,1.0
256,awgn,16.5,10.48,0.0013648648648648648,74000,101,0.9955219011190131
256,awgn,17.0,10.98,8e-05,100000,8,0.2715327958428603
256,awgn,18.0,11.98,0.0,100000,0,0.0
256,awgn,20.0,13.98,0.0,100000,0,0.0
256,awgn,24.0,17.98,0.0,100000,0,0.0
16,rayleigh,0.0,-3.01,0.9835,2000,1967,1.0
16,rayleigh,2.0,-1.01,0.9385,2000,1877,1.0
16,rayleigh,3.0,-0.01,0.8835,2000,1767,1.0
16,rayleigh,3.5,0.49,0.8605,2000,1721,1.0
16,rayleigh,4.0,0.99,0.8145,2000,1629,1.0
16,rayleigh,4.5,1.49,0.787,2000,1574,1.0
16,rayleigh,5.0,1.99,0.7175,2000,1435,1.0
16,rayleigh,5.5,2.49,0.7125,2000,1425,1.0
16,rayleigh,6.0,2.99,0.6605,2000,1321,1.0
16,rayleigh,6.5,3.49,0.6205,2000,1241,1.0
16,rayleigh,7.0,3.99,0.5575,2000,1115,1.0
16,rayleigh,7.5,4.49,0.551,2000,1102,1.0
16,rayleigh,8.0,4.99,0.4645,2000,929,1.0
16,rayleigh,8.5,5.49,0.436,2000,872,1.0
16,rayleigh,9.0,5.99,0.4085,2000,817,1.0
16,rayleigh,9.5,6.49,0.382,2000,764,1.0
16,rayleigh,10.0,6.99,0.3505,2000,701,1.0
16,rayleigh,10.5,7.49,0.3265,2000,653,1.0
16,rayleigh,11.0,7.99,0.2945,2000,589,1.0
16,rayleigh,11.5,8.49,0.2405,2000,481,1.0
16,rayleigh,12.0,8.99,0.236,2000,472,1.0
16,rayleigh,12.5,9.49,0.211,2000,422,1.0
16,rayleigh,13.0,9.99,0.1925,2000,385,1.0
16,rayleigh,13.5,10.49,0.1585,2000,317,1.0
16,rayleigh,14.0,10.99,0.168,2000,336,1.0
16,rayleigh,14.5,11.49,0.145,2000,290,1.0
16,rayleigh,15.0,11.99,0.1305,2000,261,1.0
16,rayleigh,15.5,12.49,0.1215,2000,243,1.0
16,rayleigh,16.0,12.99,0.1045,2000,209,1.0
16,rayleigh,16.5,13.49,0.0895,2000,179,1.0
16,rayleigh,17.0,13.99,0.075,2000,150,1.0
16,rayleigh,17.5,14.49,0.069,2000,138,1.0
16,rayleigh,18.0,14.99,0.0595,2000,119,1.0
16,rayleigh,18.5,15.49,0.0645,2000,129,1.0
16,rayleigh,19.0,15.99,0.0525,2000,105,1.0
16,rayleigh,19.5,16.49,0.04925,4000,197,1.0
16,rayleigh,20.0,16.99,0.04,4000,160,1.0
16,rayleigh,20.5,17.49,0.036,4000,144,1.0
16,rayleigh,21.0,17.99,0.0395,4000,158,1.0
256,rayleigh,6.0,-0.02,1.0,2000,2000,1.0
256,rayleigh,8.0,1.98,0.991,2000,1982,1.0
256,rayleigh,10.0,3.98,0.951,2000,1902,1.0
256,rayleigh,11.0,4.98,0.9045,2000,1809,1.0
256,rayleigh,11.5,5.48,0.8675,2000,1735,1.0
256,rayleigh,12.0,5.98,0.8495,2000,1699,1.0
256,rayleigh,12.5,6.48,0.824,2000,1648,1.0
256,rayleigh,13.0,6.98,0.764,2000,1528,1.0
256,rayleigh,13.5,7.48,0.7465,2000,1493,1.0
256,rayleigh,14.0,7.98,0.686,2000,1372,1.0
256,rayleigh,14.5,8.48,0.65,2000,1300,1.0
256,rayleigh,15.0,8.98,0.6155,2000,1231,1.0
256,rayleigh,15.5,9.48,0.556,2000,1112,1.0
256,rayleigh,16.0,9.98,0.5165,2000,1033,1.0
256,rayleigh,16.5,10.48,0.5045,2000,1009,1.0
256,rayleigh,17.0,10.98,0.4395,2000,879,1.0
256,rayleigh,17.5,11.48,0.4275,2000,855,1.0
256,rayleigh,18.0,11.98,0.38,2000,760,1.0
256,rayleigh,18.5,12.48,0.3585,2000,717,1.0
256,rayleigh,19.0,12.98,0.334,2000,668,1.0
256,rayleigh,19.5,13.48,0.275,2000,550,1.0
256,rayleigh,20.0,13.98,0.2445,2000,489,1.0
256,rayleigh,20.5,14.48,0.24,2000,480,1.0
256,rayleigh,21.0,14.98,0.199,2000,398,1.0
256,rayleigh,21.5,15.48,0.2025,2000,405,1.0
256,rayleigh,22.0,15.98,0.175,2000,350,1.0
256,rayleigh,22.5,16.48,0.142,2000,284,1.0
256,rayleigh,23.0,16.98,0.138,2000,276,1.0
256,rayleigh,23.5,17.48,0.119,2000,238,1.0
256,rayleigh,24.0,17.98,0.117,2000,234,1.0
256,rayleigh,24.5,18.48,0.0935,2000,187,1.0
256,rayleigh,25.0,18.98,0.088,2000,176,1.0
