channel,split,snr_db,n,jscc_f1,ap30,ap50,ap70
awgn,test,0,2170,0.8905,0.8671,0.8595,0.768
awgn,test,4,2170,0.8908,0.8701,0.8626,0.7735
awgn,test,8,2170,0.8916,0.8733,0.8659,0.7759
awgn,test,12,2170,0.8913,0.8775,0.8699,0.7784
awgn,test,16,2170,0.8908,0.8786,0.8707,0.7776
awgn,test,20,2170,0.8911,0.879,0.8713,0.7789
awgn,validate,0,1980,0.8106,0.7101,0.6953,0.5953
awgn,validate,4,1980,0.8135,0.7161,0.7006,0.5985
awgn,validate,8,1980,0.8146,0.7215,0.7045,0.5995
awgn,validate,12,1980,0.8156,0.7277,0.7096,0.5994
awgn,validate,16,1980,0.8153,0.7299,0.7112,0.5986
awgn,validate,20,1980,0.8155,0.7304,0.7117,0.5986
ofdm,test,0,2170,0.8846,0.8523,0.8434,0.7389
ofdm,test,4,2170,0.8922,0.8756,0.8663,0.7662
ofdm,test,8,2170,0.8931,0.8846,0.8752,0.7792
ofdm,test,12,2170,0.8921,0.8887,0.8791,0.783
ofdm,test,16,2170,0.8908,0.8898,0.8798,0.7828
ofdm,test,20,2170,0.8904,0.8892,0.8796,0.7833
ofdm,validate,0,1980,0.7858,0.6754,0.6614,0.5676
ofdm,validate,4,1980,0.8098,0.7184,0.7022,0.5984
ofdm,validate,8,1980,0.8193,0.7393,0.7225,0.6126
ofdm,validate,12,1980,0.8208,0.7485,0.7302,0.6168
ofdm,validate,16,1980,0.8206,0.7517,0.7328,0.6181
ofdm,validate,20,1980,0.8202,0.7515,0.7322,0.6173
rayleigh,test,0,2170,0.8837,0.8669,0.8585,0.7565
rayleigh,test,4,2170,0.886,0.8746,0.866,0.7684
rayleigh,test,8,2170,0.8849,0.8792,0.8708,0.7748
rayleigh,test,12,2170,0.8822,0.8846,0.8755,0.7784
rayleigh,test,16,2170,0.8784,0.8894,0.8798,0.7799
rayleigh,test,20,2170,0.8757,0.8924,0.8823,0.7811
rayleigh,validate,0,1980,0.8042,0.706,0.6906,0.5927
rayleigh,validate,4,1980,0.8089,0.7176,0.7004,0.6028
rayleigh,validate,8,1980,0.8112,0.7304,0.7102,0.6098
rayleigh,validate,12,1980,0.8122,0.7425,0.7193,0.6135
rayleigh,validate,16,1980,0.812,0.7522,0.7264,0.6158
rayleigh,validate,20,1980,0.8112,0.7589,0.7308,0.6165
