channel,sigma_db,mean_f1,std_f1,mean_payload
awgn,0.0,0.8636246212266526,0.0,0.024
awgn,0.5,0.8636094786662973,4.542768106595707e-05,0.02402378787878788
awgn,1.0,0.8615216780229005,0.00042706525869456595,0.027068636363636368
awgn,2.0,0.8387023817851296,0.0018635904550957068,0.05996727272727274
awgn,3.0,0.8163618916558546,0.00182467684184035,0.09174787878787878
awgn,5.0,0.793962464371766,0.0024547979723451656,0.12383772727272728
rayleigh,0.0,0.8636246212266526,0.0,0.024
rayleigh,0.5,0.8636246212266526,0.0,0.024
rayleigh,1.0,0.8636246212266526,0.0,0.024
rayleigh,2.0,0.8636246212266526,0.0,0.024
rayleigh,3.0,0.8636246212266526,0.0,0.024
rayleigh,5.0,0.8635941966349774,6.26415830777696e-05,0.02404757575757576
