split,channel,snr_db,bler_C16,bler_C256,frac_L,frac_C16,frac_C256,n
validate,awgn,0,1.0,1.0,1.0,0.0,0.0,1980
validate,awgn,2,1.0,1.0,1.0,0.0,0.0,1980
validate,awgn,4,1.0,1.0,1.0,0.0,0.0,1980
validate,awgn,6,1.0,1.0,1.0,0.0,0.0,1980
validate,awgn,8,0.4024,1.0,0.9232,0.0768,0.0,1980
validate,awgn,10,0.0,1.0,0.503,0.497,0.0,1980
validate,awgn,12,0.0,1.0,0.503,0.497,0.0,1980
validate,awgn,14,0.0,1.0,0.503,0.497,0.0,1980
validate,awgn,16,0.0,1.0,0.503,0.497,0.0,1980
validate,awgn,18,0.0,0.0,0.503,0.497,0.0,1980
validate,awgn,20,0.0,0.0,0.503,0.497,0.0,1980
validate,awgn,22,0.0,0.0,0.503,0.497,0.0,1980
validate,awgn,24,0.0,0.0,0.503,0.497,0.0,1980
validate,rayleigh,0,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,2,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,4,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,6,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,8,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,10,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,12,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,14,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,16,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,18,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,20,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,22,1.0,1.0,1.0,0.0,0.0,1980
validate,rayleigh,24,1.0,1.0,1.0,0.0,0.0,1980
test,awgn,0,1.0,1.0,1.0,0.0,0.0,2170
test,awgn,2,1.0,1.0,1.0,0.0,0.0,2170
test,awgn,4,1.0,1.0,1.0,0.0,0.0,2170
test,awgn,6,1.0,1.0,1.0,0.0,0.0,2170
test,awgn,8,0.4024,1.0,0.6438,0.3562,0.0,2170
test,awgn,10,0.0,1.0,0.4742,0.5258,0.0,2170
test,awgn,12,0.0,1.0,0.4742,0.5258,0.0,2170
test,awgn,14,0.0,1.0,0.4742,0.5258,0.0,2170
test,awgn,16,0.0,1.0,0.4742,0.5258,0.0,2170
test,awgn,18,0.0,0.0,0.4742,0.5258,0.0,2170
test,awgn,20,0.0,0.0,0.4742,0.5258,0.0,2170
test,awgn,22,0.0,0.0,0.4742,0.5258,0.0,2170
test,awgn,24,0.0,0.0,0.4742,0.5258,0.0,2170
test,rayleigh,0,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,2,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,4,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,6,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,8,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,10,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,12,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,14,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,16,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,18,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,20,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,22,1.0,1.0,1.0,0.0,0.0,2170
test,rayleigh,24,1.0,1.0,1.0,0.0,0.0,2170
culver,awgn,0,1.0,1.0,1.0,0.0,0.0,550
culver,awgn,2,1.0,1.0,1.0,0.0,0.0,550
culver,awgn,4,1.0,1.0,1.0,0.0,0.0,550
culver,awgn,6,1.0,1.0,1.0,0.0,0.0,550
culver,awgn,8,0.4024,1.0,0.5455,0.4545,0.0,550
culver,awgn,10,0.0,1.0,0.1909,0.8091,0.0,550
culver,awgn,12,0.0,1.0,0.1909,0.8091,0.0,550
culver,awgn,14,0.0,1.0,0.1909,0.8091,0.0,550
culver,awgn,16,0.0,1.0,0.1909,0.8091,0.0,550
culver,awgn,18,0.0,0.0,0.1909,0.8091,0.0,550
culver,awgn,20,0.0,0.0,0.1909,0.8091,0.0,550
culver,awgn,22,0.0,0.0,0.1909,0.8091,0.0,550
culver,awgn,24,0.0,0.0,0.1909,0.8091,0.0,550
culver,rayleigh,0,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,2,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,4,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,6,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,8,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,10,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,12,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,14,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,16,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,18,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,20,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,22,1.0,1.0,1.0,0.0,0.0,550
culver,rayleigh,24,1.0,1.0,1.0,0.0,0.0,550
