regime,policy,mean,lo,hi
"LDPC+QAM
(cliff)",L,0.8681013512396748,0.8563618109580033,0.8774363276783946
"LDPC+QAM
(cliff)",thr,0.8708952682983866,0.8603024167379566,0.880283578814393
"LDPC+QAM
(cliff)",RF,0.8728764542505908,0.8623395177250548,0.882297436092626
"LDPC+QAM
(cliff)",oracle,0.8807778020125255,0.8696366078076812,0.8896528868496432
"Importance-map JSCC
(graceful)",L,0.867914762759616,0.8583925590269881,0.8789675983523405
"Importance-map JSCC
(graceful)",thr,0.8686965994093143,0.8594982867504807,0.8797402982060817
"Importance-map JSCC
(graceful)",RF,0.8855753542589714,0.8768631730562179,0.8959916257702563
"Importance-map JSCC
(graceful)",oracle,0.8967359546950653,0.8876064632309376,0.9062615290762019
