tau,thr_f1,thr_rho
0.0,0.8547010811799042,1.0
1.0,0.8553748972985901,0.9493666666666668
2.0,0.8559711721117703,0.8994833333333331
3.0,0.856646401594568,0.8504000000000002
4.0,0.8571517235824179,0.8013166666666663
5.0,0.8577337011838295,0.7515666666666669
6.0,0.8582163983100665,0.7007166666666665
7.0,0.8585236907729744,0.6512499999999997
8.0,0.8591161648531026,0.6012166666666668
9.0,0.8596462417170749,0.55055
10.0,0.8603654411389918,0.5015333333333334
11.0,0.8609158128407457,0.45270000000000044
12.0,0.8615849972794604,0.40218333333333334
13.0,0.8622913481091367,0.3513833333333334
14.0,0.8629942181060258,0.3016000000000001
15.0,0.863767830320494,0.2510166666666667
16.0,0.8645562246658717,0.19999999999999982
17.0,0.8653724409896145,0.15073333333333333
18.0,0.8662391698476462,0.09991666666666661
19.0,0.8669951188161221,0.048966666666666686
20.0,0.8678981004804548,0.0
