channel,snr_db,rho_L,rho_C16,rho_C256,bler_C16,bler_C256,ap30_mean,ap30_std,ap50_mean,ap50_std,ap70_mean,ap70_std
awgn,0.0,1.0,0.0,0.0,1.0,1.0,0.8465712955259681,0.0,0.837903149426017,1.1102230246251565e-16,0.7572495548567844,0.0
awgn,8.0,1.0,0.0,0.0,0.85,1.0,0.8465712955259681,0.0,0.837903149426017,1.1102230246251565e-16,0.7572495548567844,0.0
awgn,12.0,0.9085858585858586,0.09141414141414142,0.0,0.025,1.0,0.8519148703386634,0.00010634718221018684,0.8440332134859927,0.00012681346351288777,0.7688383767145733,0.00014177949029744457
awgn,14.0,0.33131313131313134,0.6686868686868687,0.0,0.025,0.95,0.8700908817276071,0.0003048414350750087,0.8628226811290272,0.00027037250907838525,0.7905539524404025,0.00027718824407007274
awgn,16.0,0.32575757575757575,0.6742424242424242,0.0,0.0,0.7,0.8703936724499404,1.1102230246251565e-16,0.8631237252370949,1.1102230246251565e-16,0.7904491449557759,0.0
awgn,20.0,0.3621212121212121,0.6378787878787879,0.0,0.0,0.225,0.8703994658837868,1.1102230246251565e-16,0.8631962242186744,1.1102230246251565e-16,0.7909756744532861,0.0
rayleigh,0.0,1.0,0.0,0.0,0.9674454337759557,0.9688695027218521,0.8465712955259681,0.0,0.837903149426017,1.1102230246251565e-16,0.7572495548567844,0.0
rayleigh,10.0,1.0,0.0,0.0,0.5951933175911345,0.9762563886572986,0.8465712955259681,0.0,0.837903149426017,1.1102230246251565e-16,0.7572495548567844,0.0
rayleigh,20.0,0.997979797979798,0.00202020202020202,0.0,0.09319731435896696,0.4548710775623129,0.8466850367162738,2.237594956107831e-05,0.8380288946726691,2.853348805906914e-05,0.7574659641203819,6.41605627290549e-05
