feature,importance
pcd_mean_range,0.08006862143809768
pcd_max_range,0.0738888015456152
pcd_std_range,0.06565758526018023
pcd_left_points,0.06419401383356267
pcd_density_20_50,0.06345943920358404
pcd_mid_20_50m,0.0587807927859219
pcd_front_points,0.05572930170536996
pcd_density_50_80,0.0520437576495858
pcd_far_50_80m,0.051667423786076326
pcd_right_points,0.05088203966702872
pcd_density_0_20,0.05087575136245584
pcd_num_points,0.050026719251749785
pcd_back_points,0.04842853936808716
ego_origin_lidar_shape_0,0.04817394376347578
pcd_front_far_30m,0.04816996943098226
pcd_near_20m,0.048001464228254985
pcd_front_far_50m,0.044563917934299854
ego_num_objects,0.03843000202482836
num_cavs,0.004504199674200684
pcd_very_far_80m,0.0024537160866427315
ego_origin_lidar_shape_1,0.0
