snr_db,rf_frac_L,rf_AP,oracle_AP,jscc_AP,fixed_L_AP,rf_payload_Mbit
0.0,1.0,0.84,0.84,0.8329,0.84,0.024
2.0,1.0,0.84,0.8444,0.8444,0.84,0.024
4.0,1.0,0.84,0.8549,0.8549,0.84,0.024
6.0,1.0,0.84,0.8627,0.8627,0.84,0.024
8.0,1.0,0.84,0.8667,0.8667,0.84,0.024
10.0,1.0,0.84,0.8688,0.8688,0.84,0.024
12.0,0.9085858585858586,0.842824696969697,0.8709,0.8709,0.84,0.20280606060606057
14.0,0.3313131313131313,0.8604618181818182,0.8706,0.8706,0.84,1.331951515151515
16.0,0.3257575757575757,0.8604295454545454,0.8703,0.8703,0.84,1.342818181818182
18.0,0.3257575757575757,0.8603958333333332,0.87025,0.87025,0.84,1.342818181818182
20.0,0.3621212121212121,0.8592639393939394,0.8702,0.8702,0.84,1.2716909090909092
